8.50E-01	2.50E+00	149.2338479	-8.4150E-04	-8.4140E-04	3.8209E-03	3.8240E-03	5.4850E-03	3.2527E-02	3.2527E-02	1.7490E-03
9.00E-01	2.50E+00	149.2270548	-1.7300E-03	-1.1700E-03	5.8370E-03	5.8410E-03	7.7855E-03	4.9215E-02	4.9215E-02	2.9821E-03
9.50E-01	2.50E+00	149.2313422	-1.6360E-03	-1.6360E-03	8.8539E-03	8.8550E-03	1.1042E-02	7.2512E-02	7.2512E-02	4.8331E-03
1.00E+00	2.50E+00	149.2309954	-2.2950E-03	-2.2940E-03	1.3237E-02	1.3240E-02	1.5531E-02	1.0894E-01	1.0893E-01	7.4837E-03
1.05E+00	2.50E+00	149.2368116	-3.2170E-03	-3.2160E-03	1.9514E-02	1.9520E-02	2.1648E-02	1.5146E-01	1.5145E-01	1.1203E-02
1.10E+00	2.50E+00	149.2435003	-4.4910E-03	-4.4910E-03	2.8197E-02	2.8200E-02	2.9716E-02	2.0459E-01	2.0456E-01	1.6193E-02
1.15E+00	2.50E+00	149.2505637	-6.2240E-03	-6.2240E-03	3.9786E-02	3.9790E-02	4.0009E-02	2.6939E-01	2.6933E-01	2.2617E-02
1.20E+00	2.50E+00	149.2580635	-8.5350E-03	-8.5350E-03	5.4880E-02	5.4900E-02	5.2846E-02	3.4568E-01	3.4559E-01	3.0663E-02
1.25E+00	2.50E+00	149.2745412	-1.1560E-02	-1.1560E-02	7.4246E-02	7.4240E-02	6.8645E-02	4.3542E-01	4.3523E-01	4.0595E-02
1.30E+00	2.50E+00	149.2913626	-1.5450E-02	-1.5450E-02	9.8190E-02	9.8190E-02	8.7415E-02	5.4351E-01	5.4326E-01	5.2354E-02
1.35E+00	2.50E+00	149.3115189	-2.0360E-02	-2.0370E-02	1.2787E-01	1.2790E-01	1.0981E-01	6.7836E-01	6.7786E-01	6.6378E-02
1.40E+00	2.50E+00	149.3403694	-2.6510E-02	-2.6510E-02	1.6500E-01	1.6510E-01	1.3679E-01	8.3389E-01	8.3311E-01	8.3380E-02
