5.09	2.07253886	95.5	14.9	17.1	4.869	31.97	2.74
2.156	2.269923513	150.4	2.853	4.382	1.536	7.969	7.891
2.1605	2.269923513	150.4	2.88	4.409	1.548	6.465	6.425
2.165	2.269923513	150.4	2.906	4.435	1.56	4.96	4.959
2.21	2.269923513	150.4	3.055	4.584	1.628	3.806	3.786
2.255	2.269923513	150.3	3.203	4.733	1.695	2.651	2.612
2.4	2.269923513	149.8	3.537	5.072	1.841	2.171	2.075
2.7	2.269923513	148.4	4.151	5.701	2.088	2.145	1.921
3	2.269923513	146.3	4.792	6.364	2.321	2.358	1.951
3.3	2.269923513	143.7	5.529	7.13	2.564	2.76	2.137
3.6	2.269923513	140.5	6.386	8.023	2.823	3.194	2.298
3.9	2.269923513	136.7	7.367	9.05	3.096	3.667	2.411
4.2	2.269923513	132	8.491	10.23	3.389	4.253	2.487
4.5	2.269923513	126.1	9.805	11.63	3.709	5.129	2.545
4.8	2.269923513	117.9	11.44	13.39	4.088	6.879	2.602
5	2.269923513	109.5	12.93	15.03	4.422	10.1	2.653
5.1	2.269923513	102.8	14.01	16.24	4.662	15.12	2.694
2.155	2.36861584	150.6	2.85	4.444	1.534	7.956	7.874
2.1595	2.36861584	150.6	2.877	4.471	1.546	6.453	6.411
2.164	2.36861584	150.6	2.904	4.497	1.558	4.949	4.948
2.209	2.36861584	150.6	3.052	4.646	1.626	3.797	3.777
2.254	2.36861584	150.5	3.199	4.794	1.693	2.644	2.606
2.4	2.36861584	150	3.535	5.135	1.84	2.164	2.068
2.7	2.36861584	148.6	4.145	5.761	2.086	2.138	1.915
3	2.36861584	146.5	4.783	6.421	2.317	2.349	1.947
3.3	2.36861584	143.9	5.517	7.184	2.559	2.748	2.133
3.6	2.36861584	140.8	6.368	8.073	2.817	3.177	2.295
3.9	2.36861584	137	7.342	9.094	3.089	3.642	2.407
4.2	2.36861584	132.4	8.455	10.27	3.379	4.211	2.483
4.5	2.36861584	126.6	9.751	11.65	3.695	5.044	2.541
4.8	2.36861584	118.8	11.34	13.37	4.065	6.632	2.596
5	2.36861584	111.1	12.75	14.91	4.38	9.257	2.643
5.1	2.36861584	105.3	13.7	15.98	4.591	12.6	2.677
2.153	2.566000493	151	2.846	4.568	1.53	7.929	7.842
2.1575	2.566000493	151	2.872	4.595	1.542	6.429	6.384
2.162	2.566000493	151	2.898	4.621	1.554	4.928	4.925
2.207	2.566000493	150.9	3.045	4.769	1.621	3.779	3.759
2.252	2.566000493	150.8	3.192	4.916	1.688	2.63	2.593
2.4	2.566000493	150.3	3.53	5.26	1.836	2.148	2.054
2.7	2.566000493	148.9	4.135	5.881	2.08	2.123	1.905
3	2.566000493	146.9	4.767	6.536	2.31	2.33	1.937
3.3	2.566000493	144.4	5.492	7.293	2.55	2.725	2.125
3.6	2.566000493	141.3	6.333	8.173	2.805	3.146	2.287
3.9	2.566000493	137.6	7.294	9.183	3.075	3.595	2.4
4.2	2.566000493	133.2	8.387	10.34	3.36	4.134	2.476
4.5	2.566000493	127.7	9.648	11.68	3.669	4.892	2.532
4.8	2.566000493	120.4	11.17	13.33	4.022	6.232	2.585
5	2.566000493	113.6	12.45	14.74	4.31	8.123	2.626
5.1	2.566000493	109	13.25	15.64	4.488	10.02	2.654
2.151	2.763385147	151.3	2.841	4.692	1.526	7.902	7.809
2.1555	2.763385147	151.3	2.868	4.718	1.538	6.404	6.356
2.16	2.763385147	151.3	2.894	4.744	1.55	4.906	4.903
2.205	2.763385147	151.3	3.04	4.891	1.617	3.761	3.742
2.25	2.763385147	151.2	3.186	5.038	1.684	2.616	2.58
2.4	2.763385147	150.7	3.526	5.384	1.833	2.133	2.04
2.7	2.763385147	149.3	4.126	6.001	2.075	2.108	1.894
3	2.763385147	147.3	4.751	6.651	2.303	2.313	1.928
3.3	2.763385147	144.8	5.469	7.402	2.541	2.703	2.117
3.6	2.763385147	141.8	6.301	8.275	2.794	3.116	2.28
3.9	2.763385147	138.2	7.248	9.274	3.061	3.551	2.393
4.2	2.763385147	133.9	8.322	10.41	3.342	4.063	2.469
4.5	2.763385147	128.6	9.553	11.73	3.644	4.761	2.525
4.8	2.763385147	121.8	11.02	13.31	3.985	5.92	2.574
5	2.763385147	115.7	12.21	14.63	4.253	7.383	2.612
5.1	2.763385147	111.8	12.92	15.43	4.411	8.659	2.635
2.149	2.9607698	151.6	2.837	4.815	1.522	7.875	7.776
2.1535	2.9607698	151.6	2.863	4.842	1.534	6.38	6.329
2.158	2.9607698	151.6	2.889	4.868	1.546	4.885	4.881
2.203	2.9607698	151.6	3.035	5.014	1.613	3.744	3.725
2.248	2.9607698	151.5	3.18	5.16	1.679	2.602	2.568
2.4	2.9607698	151	3.522	5.509	1.829	2.119	2.026
2.7	2.9607698	149.7	4.117	6.121	2.07	2.094	1.884
3	2.9607698	147.7	4.736	6.766	2.296	2.296	1.919
3.3	2.9607698	145.3	5.447	7.512	2.533	2.682	2.109
3.6	2.9607698	142.3	6.269	8.377	2.784	3.088	2.273
3.9	2.9607698	138.8	7.205	9.366	3.047	3.511	2.386
4.2	2.9607698	134.6	8.262	10.49	3.325	3.999	2.462
4.5	2.9607698	129.6	9.465	11.78	3.621	4.647	2.517
4.8	2.9607698	123.1	10.88	13.31	3.951	5.667	2.565
5	2.9607698	117.5	12	14.56	4.204	6.854	2.6
5.1	2.9607698	114.1	12.66	15.28	4.348	7.796	2.621
2.139	3.947693067	153.2	2.82	5.43	1.503	7.736	7.608
2.1435	3.947693067	153.3	2.846	5.456	1.515	6.257	6.19
2.148	3.947693067	153.3	2.872	5.482	1.527	4.778	4.771
2.193	3.947693067	153.3	3.014	5.625	1.592	3.657	3.639
2.238	3.947693067	153.2	3.155	5.767	1.657	2.535	2.506
2.4	3.947693067	152.7	3.508	6.128	1.813	2.049	1.961
2.7	3.947693067	151.4	4.079	6.721	2.046	2.029	1.836
3	3.947693067	149.6	4.67	7.342	2.264	2.218	1.877
3.3	3.947693067	147.4	5.348	8.062	2.493	2.588	2.073
3.6	3.947693067	144.7	6.131	8.895	2.734	2.965	2.239
3.9	3.947693067	141.5	7.015	9.841	2.986	3.339	2.354
4.2	3.947693067	137.9	8	10.9	3.248	3.743	2.43
4.5	3.947693067	133.5	9.099	12.09	3.522	4.228	2.484
4.8	3.947693067	128.4	10.34	13.45	3.814	4.876	2.527
5	3.947693067	124.2	11.27	14.49	4.025	5.477	2.555
5.1	3.947693067	121.9	11.77	15.05	4.137	5.861	2.57
2.218	4.934616334	154.8	2.81	6.041	1.484	7.59	7.434
2.1775	4.934616334	154.8	2.8355	6.066	1.496	6.1315	6.0475
2.137	4.934616334	154.8	2.861	6.091	1.508	4.673	4.661
2.2035	4.934616334	154.75	2.999	6.23	1.572	3.572	3.5535
2.27	4.934616334	154.7	3.137	6.369	1.636	2.471	2.446
2.4	4.934616334	154.2	3.5	6.743	1.798	1.985	1.9
2.7	4.934616334	153	4.051	7.318	2.024	1.973	1.792
3	4.934616334	151.4	4.617	7.92	2.235	2.151	1.839
3.3	4.934616334	149.3	5.269	8.617	2.457	2.508	2.039
3.6	4.934616334	146.8	6.018	9.424	2.69	2.864	2.208
3.9	4.934616334	143.9	6.861	10.33	2.933	3.206	2.325
4.2	4.934616334	140.6	7.793	11.35	3.183	3.558	2.402
4.5	4.934616334	136.8	8.819	12.47	3.442	3.955	2.455
4.8	4.934616334	132.4	9.953	13.73	3.712	4.44	2.497
5	4.934616334	129	10.78	14.66	3.901	4.846	2.523
5.1	4.934616334	127.1	11.22	15.15	4	5.084	2.535
2.093	7.895386134	158.9	2.811	7.845	1.433	7.124	6.892
2.0975	7.895386134	158.9	2.835	7.869	1.445	5.745	5.615
2.102	7.895386134	158.9	2.859	7.893	1.456	4.365	4.338
2.147	7.895386134	158.9	2.988	8.022	1.517	3.328	3.306
2.192	7.895386134	158.9	3.117	8.151	1.577	2.291	2.274
2.2	7.895386134	158.9	3.135	8.169	1.585	2.244	2.224
2.4	7.895386134	158.4	3.509	8.561	1.756	1.821	1.74
2.7	7.895386134	157.4	4.011	9.095	1.967	1.833	1.683
3	7.895386134	156	4.522	9.65	2.162	1.987	1.739
3.3	7.895386134	154.3	5.11	10.3	2.366	2.321	1.951
3.6	7.895386134	152.2	5.785	11.04	2.582	2.641	2.128
3.9	7.895386134	149.9	6.539	11.88	2.805	2.929	2.25
4.2	7.895386134	147.3	7.364	12.8	3.032	3.202	2.331
4.5	7.895386134	144.3	8.254	13.8	3.263	3.48	2.386
4.8	7.895386134	141	9.214	14.89	3.497	3.781	2.428
5	7.895386134	138.6	9.894	15.66	3.655	4.002	2.453
5.1	7.895386134	137.4	10.25	16.07	3.736	4.121	2.464
2.069	9.869232667	161.4	2.833	9.029	1.402	6.818	6.542
2.0735	9.869232667	161.4	2.856	9.052	1.413	5.494	5.337
2.078	9.869232667	161.4	2.879	9.074	1.424	4.17	4.132
2.123	9.869232667	161.4	3.002	9.198	1.482	3.176	3.15
